"","Sample","Site","Year","Species","Num","Length","Weight","K","m_As","m_Cd","m_Cu","m_Pb","m_Se","m_Zn","l_As","l_Cd","l_Cu","l_Pb","l_Se","l_Zn","g_As","g_Cd","g_Cu","g_Pb","g_Se","g_Zn","wb_As","wb_Cd","wb_Cu","wb_Pb","wb_Se","wb_Zn","d13C","d15N"
"10","BG21LL09","BG",2021,"LL",9,28,230,1047.74052478134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26.86,11.24
"11","BG21LL09","BG",2021,"LL",9,230,28,0.230130681351196,0.912711583,0.004978427,1.037172254,0.019913707,1.062064388,17.91901759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","BG21LL09","BG",2021,"LL",9,280,230,1.04774052478134,0.861533685,0.004656939,1.244954983,0.015523129,0.965538653,19.4240919,NA,NA,NA,NA,NA,NA,3.90052356,1.064572426,16.36125654,2.591623037,2.897033159,548.6823735,NA,NA,NA,NA,NA,NA,NA,NA
"91","DL21LSSU09","DL",2021,"LSSU",9,436,862,NA,0.320693828,0.005042356,1.413876563,0.014118596,0.695845099,23.88563937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","DL21LSSU09","DL",2021,"LSSU",9,450,957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-30.15,11.11
"130","DL22MWF15","DL",2021,"MWF",15,280,214,0.974854227405248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-28.84,10.29
"131","DL22MWF15","DL",2022,"MWF",15,437,905,1.08443685367938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27.52,13.08
"135","GC21LL03","GC",2021,"LL",3,175,60,1.11953352769679,NA,NA,NA,NA,NA,NA,0.83573487,1.152737752,178.0835735,0.052648834,7.262247839,266.3256484,2.010309278,0.198821797,17.56995582,2.407952872,3.431516937,291.5095729,NA,NA,NA,NA,NA,NA,-27.32,13.21
"136","GC21LL03","GC",2021,"LL",3,181,70,1.18049000791097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26.5,7.93
"137","GC21LL04","GC",2021,"LL",4,107,10,0.816297876890852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-28.96,13.45
"138","GC21LL04","GC",2021,"LL",4,181,70,1.18049000791097,NA,NA,NA,NA,NA,NA,0.452079566,0.506329114,160.1582278,0.334538879,11.17088608,185.5153707,0.837155963,0.160550459,9.185779817,1.077981651,5.711009174,351.9724771,NA,NA,NA,NA,NA,NA,NA,NA
"139","GC21LL10","GC",2021,"LL",10,369,495,0.985203850319949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.198347107,2.892561983,46.69421488,7.024793388,22.72727273,5017.768595,NA,NA,NA,NA,NA,NA,NA,NA
"140","GC21LL10","GC",2021,"LL",10,377,525,0.979795076512944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-28.28,13.68
"141","GC21LL11","GC",2021,"LL",11,155,10,0.26853747776174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-29.62,12.67
"142","GC21LL11","GC",2021,"LL",11,377,525,0.979795076512944,0.638250391,0.004463289,0.997545191,0.004077024,1.08234769,15.22874358,4.871259569,14.61377871,9145.441893,2.087682672,166.3187196,2318.719555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","GC21LL14","GC",2021,"LL",14,147,36,1.13331463364188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27.04,10.53
"144","GC21LL14","GC",2021,"LL",14,423,625,0.825769646708131,NA,NA,NA,NA,NA,NA,10.83032491,36.70276775,35770.75812,3.610108303,268.3513839,3983.754513,1.064013841,0.419550173,9.597750865,2.102076125,3.066608997,247.9714533,NA,NA,NA,NA,NA,NA,NA,NA
"147","GC21LNSU01","GC",2021,"LNSU",1,181,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26.95,9.89
"148","GC21LNSU01","GC",2021,"LNSU",1,181,655,NA,0.409855208,0.117935544,2.589911256,0.088743578,0.817375058,50.92947221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","GC22LL08","GC",2022,"LL",8,107,10,0.816297876890852,0.429184549,0.107296137,4.885550787,0.032188841,1.824034335,82.9434907,NA,NA,NA,NA,NA,NA,0.588235294,0.520361991,17.48868778,0.429864253,2.805429864,383.0995475,NA,NA,NA,NA,NA,NA,NA,NA
"172","GC22LL08","GC",2022,"LL",8,369,495,0.985203850319949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-28.26,12.15
"174","GC22LL11","GC",2022,"LL",11,124,5,0.262243630626699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-29.3,13.07
"175","GC22LL11","GC",2022,"LL",11,155,10,0.26853747776174,0.410310363,0.03945292,2.405312993,0.010520779,1.675433982,48.15491846,NA,NA,NA,NA,NA,NA,0.622254758,0.285505124,19.01171303,0.344070278,2.833089312,304.7071742,NA,NA,NA,NA,NA,NA,NA,NA
"176","GC22LL12","GC",2022,"LL",12,124,5,0.262243630626699,0.330745342,0.100931677,3.251552795,0.052795031,1.161490683,60.38198758,NA,NA,NA,NA,NA,NA,0.458115183,0.27486911,16.37434555,0.54973822,1.793193717,353.4424084,NA,NA,NA,NA,NA,NA,NA,NA
"177","GC22LL12","GC",2022,"LL",12,156,10,0.263406328495086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-30.5,13.26
"178","GC22LL14","GC",2022,"LL",14,156,10,0.263406328495086,0.343772939,0.006116956,1.392219232,0.024467825,3.5894299,55.2654759,NA,NA,NA,NA,NA,NA,0.379241517,0.109780439,7.215568862,0.489021956,7.4750499,202.0259481,NA,NA,NA,NA,NA,NA,NA,NA
"179","GC22LL14","GC",2022,"LL",14,423,625,0.825769646708131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26.99,10.66
