Tray ,Sample,Site,Year,Species,Number,Wt ,%C,13C,% N,15N,Comments
umt01 A-1,GC22MWF04,GC,2022,MWF,4,1.28,51.588,-28.19,13.82,12.90,
umt01 A-2,GC22MWF15,GC,2022,MWF,15,1.20,49.533,-27.64,13.93,9.68,
umt01 A-3,GC22MWF09,GC,2022,MWF,9,1.32,50.117,-29.73,12.26,12.47,
umt01 A-4,GC22MWF14,GC,2022,MWF,14,1.50,48.207,-30.53,11.37,12.63,
umt01 A-5,GC22MWF08,GC,2022,MWF,8,1.81,49.104,-30.01,12.82,12.50,
umt01 A-6,DL22LL101,DL,2022,LL,101,1.25,47.129,-27.10,14.59,13.46,
umt01 A-7,DL22LL102,DL,2022,LL,102,1.42,44.428,-28.42,13.31,12.18,
umt01 A-8,DL22LL104,DL,2022,LL,104,1.48,45.716,-27.09,14.20,12.94,
umt01 A-9,DL22LL103,DL,2022,LL,103,1.21,49.181,-32.89,13.11,13.08,
umt01 A-10,DL22MWF12,DL,2022,MWF,12,1.25,49.882,-31.21,10.50,12.51,
umt01 A-11,DL22MWF12,DL,2022,MWF,12,1.66,54.581,-31.42,11.04,12.46,
umt01 B-1 ,DL22MWF02,DL,2022,MWF,2,1.24,51.255,-30.16,11.45,13.09,
umt01 B-2,DL22MWF15,DL,2022,MWF,15,1.55,50.619,-29.49,12.46,14.27,
umt01 B-3,DL22MWF07,DL,2022,MWF,7,1.25,52.526,-30.57,11.96,12.90,
umt01 B-4,DL22MWF01,DL,2022,MWF,1,1.21,51.440,-30.89,11.09,13.17,
umt01 B-5,GC21RSSH01,GC,2021,RSSH,1,1.15,46.269,-26.65,11.15,6.89,
umt01 B-6,DL21RSSH01,DL,2021,RSSH,1,1.38,42.877,-26.86,11.14,11.24,
umt01 B-7,DL21RSSH02,DL,2021,RSSH,2,1.51,43.244,-26.79,10.56,9.60,
umt01 B-8,DL21RSSH05,DL,2021,RSSH,5,1.23,47.147,-27.17,11.08,10.37,
umt01 B-9,DL21RSSH06,DL,2021,RSSH,6,1.12,46.223,-26.32,12.24,10.94,
umt01 B-10,DL21RSSH07,DL,2021,RSSH,7,1.26,37.666,-26.60,9.89,11.49,
umt01 B-11,DL22MWF15,DL,2021,MWF,15,1.97,50.665,-29.31,12.94,14.50,
umt01 C-2,DL21MWF03,DL,2021,MWF,3,1.62,46.813,-29.43,12.69,14.03,
umt01 C-3,DL21MWF02,DL,2021,MWF,2,1.51,52.036,-30.13,12.49,13.50,
umt01 C-4,DL21MWF09,DL,2021,MWF,9,1.36,53.430,-29.18,11.16,13.77,
umt01 C-5,DL21MWF04,DL,2021,MWF,4,1.44,51.000,-30.25,11.56,14.20,
umt01 C-6,DL21MWF05,DL,2021,MWF,5,1.69,49.411,-28.12,12.21,14.08,
umt01 C-7,DL21LL08,DL,2021,LL,8,1.19,34.770,-26.72,10.58,12.33,
umt01 C-8,DL21LL05,DL,2021,LL,5,1.14,49.970,-27.88,13.78,13.24,
umt01 C-9,DL21LL02,DL,2021,LL,2,1.39,44.014,-28.55,13.23,12.46,
umt01 C-10,DL21LL01,DL,2021,LL,1,1.34,45.160,-26.93,13.56,13.36,
umt01 C-11,DL21LL05,DL,2021,LL,5,1.41,47.173,-27.73,13.19,13.28,
umt01 D-1,DL21LL04,DL,2021,LL,4,1.85,46.063,-27.49,13.06,13.89,
umt01 D-2,DL21LSSU01,DL,2021,LSSU,1,1.81,46.226,-27.61,13.21,12.58,
umt01 D-3,DL21LSSU02,DL,2021,LSSU,2,1.41,42.322,-27.72,12.80,11.19,
umt01 D-4,DL22LSSU03,DL,2022,LSSU,3,1.24,48.561,-27.33,14.42,12.38,
umt01 D-5,DL22LSSU04,DL,2022,LSSU,4,1.30,48.539,-27.34,13.82,13.02,
umt01 D-6,DL22LSSU02,DL,2022,LSSU,2,1.72,47.733,-27.38,13.95,13.77,
umt01 D-7,DL22LSSU05,DL,2022,LSSU,5,1.32,41.603,-28.31,12.55,11.65,
umt01 D-8,GC21LSSU01,GC,2021,LSSU,1,1.77,43.131,-29.72,12.01,10.56,
umt01 D-9,GC21LSSU02,GC,2021,LSSU,2,1.46,38.319,-28.41,10.12,8.84,
umt01 D-10,BG21LSSU14,BG,2021,LSSU,14,1.73,43.035,-28.44,13.03,10.44,
umt01 D-11,DL22LSSU05,DL,2022,LSSU,5,1.56,45.631,-28.36,12.99,11.76,
umt01 E-1,BG21LSSU15,BG,2021,LSSU,15,1.54,50.067,-27.31,14.69,10.89,
umt01 E-2,BG21LL09,BG,2021,LL,9,1.61,44.188,-27.65,13.43,12.37,
umt01 E-3,BG21LL10,BG,2021,LL,10,1.42,46.769,-28.36,14.12,11.37,
umt01 E-4,BG21LL07,BG,2021,LL,7,1.57,48.894,-28.11,14.04,12.32,
umt01 E-5,BG22LL01,BG,2022,LL,1,1.62,48.852,-27.40,14.05,11.87,
umt01 E-6,BG22LL02,BG,2022,LL,2,1.43,49.997,-27.56,13.81,11.83,
umt01 E-7,BG22LL03,BG,2022,LL,3,1.32,49.946,-27.23,13.83,11.14,
umt01 E-8,BG22LL04,BG,2022,LL,4,1.51,45.078,-24.61,14.09,11.78,
umt01 E-9,BG22LL05,BG,2022,LL,5,1.22,44.269,-27.24,12.91,11.82,
umt01 E-10,BG22MWF02,BG,2022,MWF,2,1.76,48.897,-29.99,11.44,12.24,
umt01 E-11,BG22LL03,BG,2022,LL,3,1.45,49.438,-27.43,13.56,10.99,
umt01 F-2,BG22MWF06,BG,2022,MWF,6,1.27,52.314,-30.60,10.64,12.73,
umt01 F-3,BG22MWF10,BG,2022,MWF,10,1.20,57.191,-28.81,12.68,12.42,
umt01 F-4,BG22MWF04,BG,2022,MWF,4,1.53,49.498,-29.13,13.31,11.26,
umt01 F-5,DL 21 MWF12,DL,2021,MWF,12,1.27,43.781,-29.06,10.77,13.10,
umt01 F-6,DL21MWF10,DL,2021,MWF,10,1.54,44.873,-28.15,12.66,13.89,
umt01 F-7,DL21MWF11,DL,2021,MWF,11,1.41,42.134,-29.32,11.15,12.65,
umt01 F-8,DL21MWF15,DL,2021,MWF,15,1.37,48.652,-27.96,13.21,13.33,
umt01 F-9,GC22MWF01,GC,2022,MWF,1,1.45,51.447,-28.94,13.79,13.24,
umt01 F-10,GC22MWF13,GC,2022,MWF,13,1.19,47.485,-28.39,13.41,11.59,
umt01 F-11,GC22MWF13,GC,2022,MWF,13,1.49,48.510,-28.21,14.15,11.29,
umt01 G-1,BG22LSSU03,BG,2022,LSSU,3,1.62,48.368,-26.65,14.54,10.35,
umt01 G-2,BG22LSSU07,BG,2022,LSSU,7,1.47,45.037,-27.91,13.31,10.44,
umt01 G-3,BG22LSSU05,BG,2022,LSSU,5,1.87,47.526,-27.27,13.04,10.88,
umt01 G-4,BG22LSSU06,BG,2022,LSSU,6,1.47,44.503,-27.52,13.11,10.39,
umt01 G-5,BG21LNSU03,BG,2021,LNSU,3,1.65,39.369,-28.57,11.43,10.69,
umt01 G-6,BG21RSSH05,BG,2021,RSSH,5,1.23,42.645,-26.82,10.93,8.23,
umt01 G-7,BG21FSSH02,BG,2021,RSSH,2,1.42,36.601,-27.66,9.19,11.61,
umt01 G-8,BG21RSSH04,BG,2021,RSSH,4,1.37,36.323,-26.91,8.61,7.98,
umt01 G-9,BG21RSSH03,BG,2021,RSSH,3,1.36,42.780,-26.93,9.49,7.83,
umt01 G-10,BG21RSSH01,BG,2021,RSSH,1,1.31,40.767,-26.75,10.50,8.66,
umt01 G-11,BG22LSSU05,BG,2022,LSSU,5,1.38,26.841,-27.02,6.59,7.69,
umt01 H-1,GC22LL14,GC,2022,LL,14,1.61,11.383,-33.99,6.45,10.48,
umt01 H-2,DL21LNDC01,DL,2021,LNDC,1,1.34,56.712,-24.15,17.02,10.62,
umt01 H-3,DL21LNDC02,DL,2021,LNDC,2,1.46,49.674,-29.28,11.78,12.00,
umt01 H-4,DL21LNSU02,DL,2021,LNSU,2,1.72,43.158,-28.38,11.63,11.67,
umt01 H-5,DL21LNSU03,DL,2021,LNSU,3,1.33,47.462,-26.93,12.61,11.45,
umt01 H-6,DL21LNSU01,DL,2021,LNSU,1,1.93,45.498,-29.22,10.16,11.68,
umt01 H-7,GC22LL08,GC,2022,LL,8,1.49,44.826,-32.20,13.17,12.17,
umt01 H-8,DL21LL03,DL,2021,LL,3,1.89,45.384,-28.15,13.10,12.80,
umt01 H-9,DL21LL06,DL,2021,LL,6,1.54,48.301,-28.61,12.20,12.43,
umt01 H-10,DL21LL07,DL,2021,LL,7,1.53,45.800,-27.35,14.07,12.69,
umt01 H-11,DL21LL07,DL,2021,LL,7,1.85,44.876,-27.39,13.63,12.98,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
